Unnamed: 0,comment,label_id,label_lineage_names,label_name,label_uuid,point_id,point_media_deployment_campaign_key,point_media_deployment_key,point_media_id,point_media_key,point_media_path_best,point_pose_alt,point_pose_dep,point_pose_lat,point_pose_lon,point_pose_timestamp,point_x,point_y,tag_names,updated_at
0,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027680,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534652,PR_20100604_231041_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231041_196_LC16.jpg,1.895,21.119483,-43.13635625,148.00620347,2010-06-04 23:10:41,0.8333333333333334,0.1666666666666666,,2021-03-23 02:10:36.601827
1,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027683,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534652,PR_20100604_231041_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231041_196_LC16.jpg,1.895,21.119483,-43.13635625,148.00620347,2010-06-04 23:10:41,0.8333333333333334,0.8333333333333334,,2021-03-30 04:36:16.247368
2,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027681,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534652,PR_20100604_231041_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231041_196_LC16.jpg,1.895,21.119483,-43.13635625,148.00620347,2010-06-04 23:10:41,0.5,0.5,,2021-03-30 04:36:19.083993
3,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027679,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534652,PR_20100604_231041_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231041_196_LC16.jpg,1.895,21.119483,-43.13635625,148.00620347,2010-06-04 23:10:41,0.1666666666666666,0.1666666666666666,,2021-03-30 04:36:21.517305
4,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027682,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534652,PR_20100604_231041_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231041_196_LC16.jpg,1.895,21.119483,-43.13635625,148.00620347,2010-06-04 23:10:41,0.1666666666666666,0.8333333333333334,,2021-03-30 04:36:24.745182
5,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027675,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534649,PR_20100604_231038_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231038_196_LC16.jpg,1.95,21.090219,-43.13635,148.00621667,2010-06-04 23:10:38,0.8333333333333334,0.1666666666666666,,2021-03-23 01:36:33.205901
6,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027677,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534649,PR_20100604_231038_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231038_196_LC16.jpg,1.95,21.090219,-43.13635,148.00621667,2010-06-04 23:10:38,0.1666666666666666,0.8333333333333334,,2021-03-23 01:36:45.258281
7,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027674,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534649,PR_20100604_231038_196_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231038_196_LC16.jpg,1.95,21.090219,-43.13635,148.00621667,2010-06-04 23:10:38,0.1666666666666666,0.1666666666666666,,2021-03-23 01:36:49.675900
10,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027706,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534673,PR_20100604_231102_200_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231102_200_LC16.jpg,2.277,21.019881,-43.13639653,148.00611528,2010-06-04 23:11:02,0.5,0.5,,2021-03-29 23:20:46.506024
11,,7326,Biota > Macroalgae > Large canopy-forming > Brown > Ecklonia radiata,Ecklonia radiata,5b3ca3b9-20c0-4a7f-a08e-14ebd493f9cf,2027705,Tasmania201006,r20100604_230524_lanterns_14_shallow,2534673,PR_20100604_231102_200_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201006/r20100604_230524_lanterns_14_shallow/full_res/PR_20100604_231102_200_LC16.jpg,2.277,21.019881,-43.13639653,148.00611528,2010-06-04 23:11:02,0.8333333333333334,0.1666666666666666,,2021-03-29 23:20:46.509711
